field_id,display_name,type,options
service_type,Service Type,dropdown,"Installation,Maintenance,Repair,Consultation,Inspection"
priority_level,Priority Level,radio,"Low,Medium,High"
customer_name,Customer Name,text,
inspector_name,Inspector Name,text,
job_description,Job Description,text,
service_date,Service Date,text,
is_approved,Approved,checklist,"Yes, approval confirmed"
signature,Customer Signature,signature,
job_photo,Photo of Job Site,photo,
status,Job Status,dropdown,"New,In Progress,On Hold,Completed,Cancelled"
customer_address,Customer Address,address,
service_location,Service Location,address,
line_items,Work & Parts Line Items,dynamic_table,
safety_checklist,Safety Checklist,checklist,"Site Secure,Tools Inspected,PPE Worn,Fall Protection in Place"
follow_up_required,Follow-up Required?,radio,"Yes,No"
follow_up_reason,Reason for Follow-up,text,
vehicle_id,Company Vehicle ID,text,
